#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.24e+01    1.70e+01      1.34e-01    1.38e-01      7.07e-01    5.38e-01    1.0e-03
    200      3.30e+00    4.09e+00      1.99e+00    2.00e+00      9.19e-02    1.25e-01    8.1e-04
    400      3.70e+00    3.10e+00      4.71e-01    4.69e-01      1.41e-01    1.18e-01    6.6e-04
    600      2.87e+00    2.05e+00      1.08e-01    1.05e-01      1.23e-01    8.79e-02    5.4e-04
    800      1.62e+00    1.60e+00      2.54e-02    2.50e-02      7.73e-02    7.62e-02    4.4e-04
   1000      1.04e+00    1.13e+00      1.63e-02    1.64e-02      5.47e-02    5.98e-02    3.6e-04
   1200      8.69e-01    7.74e-01      6.25e-03    6.48e-03      5.08e-02    4.52e-02    2.9e-04
   1400      6.72e-01    8.08e-01      2.25e-02    2.30e-02      4.34e-02    5.22e-02    2.4e-04
   1600      7.26e-01    4.45e-01      7.14e-03    6.75e-03      5.21e-02    3.19e-02    1.9e-04
   1800      4.17e-01    6.40e-01      3.65e-03    3.58e-03      3.31e-02    5.08e-02    1.6e-04
   2000      5.12e-01    4.46e-01      7.60e-04    5.69e-04      4.50e-02    3.92e-02    1.3e-04
   2200      4.45e-01    3.57e-01      5.13e-03    5.17e-03      4.33e-02    3.47e-02    1.0e-04
   2400      3.47e-01    3.09e-01      6.10e-03    5.62e-03      3.73e-02    3.33e-02    8.5e-05
   2600      2.46e-01    4.43e-01      3.19e-04    1.02e-03      2.94e-02    5.28e-02    6.9e-05
   2800      3.17e-01    3.97e-01      1.86e-03    2.40e-03      4.18e-02    5.24e-02    5.7e-05
   3000      2.84e-01    3.12e-01      2.80e-04    5.11e-04      4.14e-02    4.55e-02    4.6e-05
   3200      2.69e-01    2.18e-01      1.29e-03    1.03e-03      4.33e-02    3.52e-02    3.8e-05
   3400      2.12e-01    2.08e-01      4.26e-04    1.93e-04      3.77e-02    3.70e-02    3.1e-05
   3600      1.89e-01    3.02e-01      4.34e-04    8.66e-04      3.71e-02    5.94e-02    2.5e-05
   3800      1.50e-01    1.84e-01      8.29e-04    5.80e-04      3.26e-02    3.98e-02    2.0e-05
   4000      1.54e-01    1.66e-01      2.55e-04    6.84e-04      3.68e-02    3.98e-02    1.7e-05
   4200      1.63e-01    1.33e-01      7.82e-04    4.47e-04      4.30e-02    3.51e-02    1.3e-05
   4400      1.25e-01    1.04e-01      3.96e-04    3.14e-04      3.62e-02    3.00e-02    1.1e-05
   4600      1.31e-01    1.14e-01      5.56e-04    4.09e-04      4.17e-02    3.62e-02    8.9e-06
   4800      1.10e-01    1.33e-01      3.60e-04    8.34e-04      3.82e-02    4.64e-02    7.3e-06
   5000      1.26e-01    1.13e-01      7.64e-04    3.39e-04      4.79e-02    4.30e-02    5.9e-06
   5200      6.91e-02    1.06e-01      3.33e-04    4.14e-04      2.86e-02    4.41e-02    4.8e-06
   5400      8.83e-02    1.03e-01      3.66e-04    4.17e-04      3.98e-02    4.65e-02    3.9e-06
   5600      7.79e-02    8.32e-02      3.68e-04    4.92e-04      3.80e-02    4.06e-02    3.2e-06
   5800      7.67e-02    5.53e-02      3.54e-04    4.85e-04      4.04e-02    2.91e-02    2.6e-06
   6000      7.40e-02    6.20e-02      6.93e-04    5.87e-04      4.19e-02    3.51e-02    2.1e-06
   6200      6.58e-02    6.23e-02      4.85e-04    2.89e-04      3.98e-02    3.77e-02    1.7e-06
   6400      5.27e-02    6.95e-02      3.79e-04    3.21e-04      3.39e-02    4.48e-02    1.4e-06
   6600      5.85e-02    6.38e-02      2.87e-04    3.37e-04      3.99e-02    4.36e-02    1.1e-06
   6800      4.51e-02    5.61e-02      4.69e-04    6.83e-04      3.24e-02    4.03e-02    9.3e-07
   7000      4.81e-02    5.04e-02      3.87e-04    4.05e-04      3.62e-02    3.80e-02    7.6e-07
   7200      4.15e-02    5.89e-02      4.57e-04    4.63e-04      3.26e-02    4.63e-02    6.2e-07
   7400      4.53e-02    5.32e-02      3.57e-04    4.37e-04      3.70e-02    4.33e-02    5.1e-07
   7600      5.61e-02    5.07e-02      3.53e-04    2.61e-04      4.72e-02    4.27e-02    4.1e-07
   7800      4.51e-02    4.45e-02      5.41e-04    4.55e-04      3.90e-02    3.85e-02    3.4e-07
   8000      4.64e-02    4.64e-02      4.29e-04    7.64e-04      4.12e-02    4.11e-02    2.7e-07
   8200      3.49e-02    5.48e-02      2.81e-04    7.84e-04      3.15e-02    4.95e-02    2.2e-07
   8400      4.38e-02    4.20e-02      4.22e-04    3.33e-04      4.03e-02    3.86e-02    1.8e-07
   8600      4.53e-02    4.41e-02      5.18e-04    3.45e-04      4.23e-02    4.11e-02    1.5e-07
   8800      4.05e-02    5.48e-02      3.08e-04    6.76e-04      3.82e-02    5.17e-02    1.2e-07
   9000      4.60e-02    4.27e-02      3.22e-04    7.43e-04      4.39e-02    4.08e-02    9.8e-08
   9200      3.25e-02    3.91e-02      6.19e-04    3.29e-04      3.13e-02    3.76e-02    8.0e-08
   9400      2.71e-02    4.84e-02      3.78e-04    9.30e-04      2.63e-02    4.69e-02    6.5e-08
   9600      5.04e-02    4.69e-02      4.96e-04    5.39e-04      4.91e-02    4.57e-02    5.3e-08
   9800      3.67e-02    4.38e-02      4.21e-04    7.01e-04      3.59e-02    4.29e-02    4.3e-08
  10000      3.87e-02    5.38e-02      4.01e-04    5.01e-04      3.80e-02    5.29e-02    3.5e-08
