Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000         -44.6938     -44.7098       0.0160   123.5
0.0100         -44.6571     -44.6930       0.0358   277.1
0.0200         -44.6663     -44.6830       0.0167   129.0
0.0300         -44.6813     -44.7029       0.0216   167.0
0.0400         -44.6769     -44.7068       0.0299   231.2
0.0500         -44.6624     -44.6934       0.0310   239.9
0.0600         -44.6704     -44.6920       0.0216   167.2
0.0700         -44.6813     -44.7043       0.0231   178.7
0.0800         -44.6784     -44.7066       0.0282   218.2
0.0900         -44.6694     -44.6985       0.0291   225.3
0.1000         -44.6742     -44.6979       0.0237   183.1
0.1100         -44.6805     -44.7037       0.0232   179.2
0.1200         -44.6774     -44.7039       0.0265   205.1
0.1300         -44.6744     -44.7015       0.0271   209.7
0.1400         -44.6773     -44.7034       0.0261   201.9
0.1500         -44.6775     -44.7043       0.0267   206.7
0.1600         -44.6752     -44.7020       0.0268   207.7
0.1700         -44.6753     -44.6995       0.0242   187.1
0.1800         -44.6801     -44.7041       0.0240   185.4
0.1900         -44.6805     -44.7068       0.0263   203.6
0.2000         -44.6759     -44.7031       0.0271   209.9
0.2100         -44.6607     -44.7000       0.0393   304.3
0.2200         -44.6638     -44.7021       0.0384   296.8
0.2300         -44.6643     -44.7046       0.0403   311.9
0.2400         -44.6611     -44.7009       0.0398   307.7
0.2500         -44.6587     -44.6959       0.0371   287.4
0.2600         -44.6659     -44.7026       0.0367   283.7
0.2700         -44.6673     -44.7065       0.0392   303.6
0.2800         -44.6606     -44.7023       0.0417   322.3
0.2900         -44.6610     -44.6992       0.0383   296.2
0.3000         -44.6665     -44.7024       0.0359   278.0
0.3100         -44.6689     -44.7073       0.0384   297.2
0.3200         -44.6633     -44.7044       0.0411   317.8
0.3300         -44.6594     -44.6991       0.0397   307.3
0.3400         -44.6637     -44.7016       0.0379   293.6
0.3500         -44.6679     -44.7063       0.0384   297.2
0.3600         -44.6649     -44.7045       0.0396   306.2
0.3700         -44.6622     -44.7011       0.0389   301.1
0.3800         -44.6652     -44.7031       0.0379   293.6
0.3900         -44.6667     -44.7048       0.0381   294.9
0.4000         -44.6654     -44.7044       0.0391   302.3
0.4100         -44.6640     -44.7033       0.0393   304.3
0.4200         -44.6649     -44.7044       0.0395   305.6
0.4300         -44.6642     -44.7035       0.0392   303.4
0.4400         -44.6630     -44.7012       0.0383   295.9
0.4500         -44.6659     -44.7032       0.0373   288.2
0.4600         -44.6682     -44.7060       0.0378   292.4
0.4700         -44.6643     -44.7051       0.0408   315.7
0.4800         -44.6626     -44.7024       0.0399   308.5
0.4900         -44.6655     -44.7022       0.0366   283.5
0.5000         -44.6683     -44.7062       0.0379   293.6
0.5100         -44.6679     -44.7084       0.0405   313.4
0.5200         -44.6624     -44.7026       0.0402   311.3
0.5300         -44.6631     -44.7012       0.0381   295.1
0.5400         -44.6670     -44.7052       0.0382   295.9
0.5500         -44.6676     -44.7066       0.0390   301.5
0.5600         -44.6634     -44.7030       0.0396   306.2
0.5700         -44.6650     -44.7031       0.0381   294.7
0.5800         -44.6679     -44.7051       0.0372   288.0
0.5900         -44.6679     -44.7067       0.0388   300.4
0.6000         -44.6663     -44.7059       0.0396   306.7
0.6100         -44.6644     -44.7038       0.0394   305.0
0.6200         -44.6667     -44.7055       0.0388   300.1
0.6300         -44.6654     -44.7043       0.0389   301.3
0.6400         -44.6654     -44.7040       0.0386   298.7
0.6500         -44.6663     -44.7040       0.0377   291.8
0.6600         -44.6678     -44.7064       0.0386   298.6
0.6700         -44.6675     -44.7071       0.0396   306.1
0.6800         -44.6647     -44.7040       0.0394   304.5
0.6900         -44.6657     -44.7043       0.0386   298.4
0.7000         -44.6665     -44.7055       0.0390   301.7
0.7100         -44.6662     -44.7056       0.0394   304.8
0.7200         -44.6643     -44.7030       0.0387   299.2
0.7300         -44.6659     -44.7034       0.0375   290.1
0.7400         -44.6691     -44.7070       0.0379   293.2
0.7500         -44.6674     -44.7070       0.0396   306.1
0.7600         -44.6644     -44.7043       0.0399   308.6
0.7700         -44.6659     -44.7039       0.0380   294.2
0.7800         -44.6682     -44.7062       0.0379   293.3
0.7900         -44.6688     -44.7081       0.0393   303.8
0.8000         -44.6659     -44.7054       0.0395   305.8
