Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000         -43.8521     -43.8845       0.0324   250.7
0.0100         -43.8784     -43.9381       0.0596   461.3
0.0200         -43.8952     -43.9375       0.0423   327.0
0.0300         -43.8897     -43.8975       0.0079    60.9
0.0400         -43.8905     -43.9228       0.0323   249.8
0.0500         -43.9125     -43.9404       0.0278   215.4
0.0600         -43.8972     -43.9483       0.0511   395.3
0.0700         -43.8754     -43.9259       0.0505   390.3
0.0800         -43.8945     -43.9254       0.0308   238.6
0.0900         -43.9057     -43.9407       0.0351   271.3
0.1000         -43.9017     -43.9433       0.0416   321.9
0.1100         -43.8948     -43.9380       0.0433   334.7
0.1200         -43.9043     -43.9347       0.0305   235.7
0.1300         -43.9079     -43.9439       0.0361   278.9
0.1400         -43.9076     -43.9490       0.0415   320.7
0.1500         -43.9013     -43.9411       0.0398   307.9
0.1600         -43.9043     -43.9447       0.0404   312.2
0.1700         -43.9080     -43.9467       0.0386   298.9
0.1800         -43.9018     -43.9417       0.0399   308.7
0.1900         -43.9015     -43.9393       0.0377   292.0
0.2000         -43.9088     -43.9461       0.0373   288.3
0.2100         -43.9126     -43.9507       0.0380   294.2
0.2200         -43.9044     -43.9471       0.0426   329.6
0.2300         -43.9022     -43.9404       0.0383   296.1
0.2400         -43.9114     -43.9467       0.0352   272.5
0.2500         -43.9135     -43.9509       0.0374   289.2
0.2600         -43.9060     -43.9498       0.0439   339.4
0.2700         -43.9045     -43.9455       0.0410   317.2
0.2800         -43.9061     -43.9436       0.0375   290.1
0.2900         -43.9087     -43.9462       0.0376   290.6
0.3000         -43.9099     -43.9481       0.0381   295.1
0.3100         -43.9075     -43.9460       0.0385   298.0
0.3200         -43.9086     -43.9476       0.0389   301.3
0.3300         -43.9136     -43.9507       0.0371   287.3
0.3400         -43.9092     -43.9479       0.0387   299.5
0.3500         -43.9078     -43.9480       0.0401   310.6
0.3600         -43.9096     -43.9488       0.0392   303.4
0.3700         -43.9102     -43.9495       0.0392   303.6
0.3800         -43.9081     -43.9479       0.0398   307.7
0.3900         -43.9066     -43.9461       0.0395   305.3
0.4000         -43.9086     -43.9455       0.0369   285.4
0.4100         -43.9113     -43.9482       0.0369   285.4
0.4200         -43.9123     -43.9513       0.0389   301.0
0.4300         -43.9103     -43.9506       0.0404   312.3
0.4400         -43.9085     -43.9480       0.0395   305.4
0.4500         -43.9096     -43.9482       0.0387   299.2
0.4600         -43.9107     -43.9489       0.0382   295.6
0.4700         -43.9105     -43.9501       0.0396   306.3
0.4800         -43.9086     -43.9468       0.0382   295.4
0.4900         -43.9111     -43.9491       0.0380   294.2
0.5000         -43.9112     -43.9493       0.0381   295.0
0.5100         -43.9101     -43.9499       0.0398   307.8
0.5200         -43.9109     -43.9502       0.0393   304.3
0.5300         -43.9100     -43.9479       0.0379   293.4
0.5400         -43.9106     -43.9494       0.0388   299.9
0.5500         -43.9124     -43.9524       0.0400   309.3
0.5600         -43.9092     -43.9482       0.0391   302.2
0.5700         -43.9087     -43.9474       0.0387   299.5
0.5800         -43.9113     -43.9493       0.0380   293.6
0.5900         -43.9130     -43.9511       0.0382   295.2
0.6000         -43.9102     -43.9493       0.0391   302.4
0.6100         -43.9100     -43.9484       0.0384   297.4
0.6200         -43.9100     -43.9496       0.0396   306.5
0.6300         -43.9127     -43.9520       0.0393   304.2
0.6400         -43.9090     -43.9481       0.0391   302.4
0.6500         -43.9106     -43.9485       0.0379   293.5
0.6600         -43.9120     -43.9492       0.0372   287.6
0.6700         -43.9117     -43.9505       0.0388   300.3
0.6800         -43.9128     -43.9524       0.0395   305.7
0.6900         -43.9095     -43.9484       0.0389   301.1
0.7000         -43.9107     -43.9502       0.0395   305.9
0.7100         -43.9134     -43.9517       0.0382   295.8
0.7200         -43.9106     -43.9489       0.0382   295.6
0.7300         -43.9102     -43.9494       0.0392   303.1
0.7400         -43.9114     -43.9500       0.0386   298.6
0.7500         -43.9129     -43.9514       0.0386   298.3
0.7600         -43.9117     -43.9507       0.0390   301.8
0.7700         -43.9107     -43.9498       0.0390   301.9
0.7800         -43.9095     -43.9483       0.0387   299.7
0.7900         -43.9128     -43.9511       0.0383   296.4
0.8000         -43.9131     -43.9521       0.0390   301.7
