Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000         -12.0379     -12.1263       0.0885   684.5
0.0100         -12.0294     -12.1408       0.1113   861.4
0.0200         -12.0704     -12.2383       0.1679  1298.7
0.0300         -12.4931     -12.8391       0.3461  2677.2
0.0400         -13.1278     -13.7560       0.6283  4860.4
0.0500         -13.5050     -14.0198       0.5149  3983.1
0.0600         -13.6050     -14.0191       0.4141  3204.0
0.0700         -13.7688     -14.1454       0.3767  2914.1
0.0800         -13.8799     -14.1098       0.2299  1778.4
0.0900         -13.9757     -14.2182       0.2425  1875.8
0.1000         -13.9946     -14.2215       0.2269  1755.5
0.1100         -14.0280     -14.2154       0.1874  1450.0
0.1200         -14.0522     -14.2648       0.2126  1644.8
0.1300         -14.0833     -14.2859       0.2026  1567.7
0.1400         -14.0998     -14.2623       0.1625  1257.1
0.1500         -14.1148     -14.2507       0.1359  1051.2
0.1600         -14.1352     -14.2755       0.1402  1084.9
0.1700         -14.1576     -14.3019       0.1444  1116.8
0.1800         -14.1938     -14.3352       0.1414  1094.0
0.1900         -14.1514     -14.2812       0.1298  1004.0
0.2000         -14.1350     -14.2553       0.1203   930.5
0.2100         -14.1584     -14.2755       0.1171   905.8
0.2200         -14.1552     -14.2899       0.1346  1041.4
0.2300         -14.1913     -14.3334       0.1422  1099.8
0.2400         -14.1585     -14.2847       0.1262   976.6
0.2500         -14.1661     -14.3026       0.1364  1055.4
0.2600         -14.1438     -14.2895       0.1457  1127.4
0.2700         -14.1299     -14.2927       0.1628  1259.2
0.2800         -14.1184     -14.2754       0.1570  1214.6
0.2900         -14.1483     -14.3002       0.1519  1175.4
0.3000         -14.1594     -14.2973       0.1379  1066.9
0.3100         -14.1659     -14.3076       0.1417  1096.3
0.3200         -14.1652     -14.3046       0.1394  1078.4
0.3300         -14.1349     -14.2856       0.1507  1165.7
0.3400         -14.1972     -14.3641       0.1669  1291.4
0.3500         -14.1804     -14.3108       0.1304  1008.8
0.3600         -14.1907     -14.3304       0.1397  1080.7
0.3700         -14.1162     -14.2614       0.1452  1123.5
0.3800         -14.1300     -14.2913       0.1613  1247.9
0.3900         -14.0956     -14.2633       0.1676  1296.9
0.4000         -14.1284     -14.2646       0.1362  1053.9
0.4100         -14.1047     -14.2297       0.1249   966.4
