Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000        -158.5001    -158.5218       0.0217   168.2
0.0100        -158.4714    -158.5152       0.0437   338.3
0.0200        -158.4674    -158.5060       0.0385   297.9
0.0300        -158.4769    -158.5105       0.0337   260.6
0.0400        -158.4792    -158.5131       0.0339   262.0
0.0500        -158.4724    -158.5150       0.0425   329.1
0.0600        -158.4716    -158.5181       0.0465   360.1
0.0700        -158.4739    -158.5117       0.0378   292.3
0.0800        -158.4775    -158.5120       0.0344   266.4
0.0900        -158.4807    -158.5208       0.0401   310.3
0.1000        -158.4848    -158.5223       0.0375   290.1
0.1100        -158.4756    -158.5151       0.0395   305.8
0.1200        -158.4757    -158.5174       0.0417   322.6
0.1300        -158.4731    -158.5107       0.0376   290.9
0.1400        -158.4820    -158.5186       0.0366   283.1
0.1500        -158.4830    -158.5218       0.0387   299.7
0.1600        -158.4826    -158.5232       0.0406   314.1
0.1700        -158.4797    -158.5191       0.0394   305.1
0.1800        -158.4772    -158.5172       0.0400   309.6
0.1900        -158.4792    -158.5150       0.0358   277.1
0.2000        -158.4821    -158.5193       0.0373   288.2
0.2100        -158.4833    -158.5233       0.0401   310.0
0.2200        -158.4818    -158.5217       0.0399   308.9
0.2300        -158.4800    -158.5199       0.0399   308.8
0.2400        -158.4784    -158.5174       0.0389   301.2
0.2500        -158.4824    -158.5183       0.0359   277.9
0.2600        -158.4832    -158.5211       0.0379   293.5
0.2700        -158.4838    -158.5235       0.0397   307.3
0.2800        -158.4803    -158.5203       0.0400   309.7
0.2900        -158.4817    -158.5220       0.0403   311.8
0.3000        -158.4770    -158.5150       0.0380   294.2
0.3100        -158.4841    -158.5216       0.0375   290.4
0.3200        -158.4832    -158.5213       0.0381   294.7
0.3300        -158.4845    -158.5228       0.0383   296.1
0.3400        -158.4821    -158.5214       0.0393   304.0
0.3500        -158.4792    -158.5202       0.0409   316.5
0.3600        -158.4803    -158.5190       0.0387   299.2
0.3700        -158.4832    -158.5212       0.0380   293.9
0.3800        -158.4846    -158.5223       0.0377   292.0
0.3900        -158.4843    -158.5231       0.0388   300.1
0.4000        -158.4830    -158.5227       0.0397   307.2
0.4100        -158.4798    -158.5193       0.0395   305.2
0.4200        -158.4812    -158.5197       0.0385   297.5
0.4300        -158.4829    -158.5215       0.0386   298.5
0.4400        -158.4850    -158.5223       0.0374   289.0
0.4500        -158.4840    -158.5234       0.0394   304.6
0.4600        -158.4843    -158.5240       0.0397   307.4
0.4700        -158.4789    -158.5179       0.0389   301.2
0.4800        -158.4829    -158.5215       0.0386   298.4
0.4900        -158.4804    -158.5186       0.0381   295.1
0.5000        -158.4849    -158.5236       0.0387   299.5
0.5100        -158.4852    -158.5240       0.0388   300.3
0.5200        -158.4841    -158.5233       0.0392   303.2
0.5300        -158.4817    -158.5211       0.0394   305.1
0.5400        -158.4824    -158.5211       0.0387   299.4
0.5500        -158.4817    -158.5194       0.0377   291.4
0.5600        -158.4842    -158.5231       0.0388   300.4
0.5700        -158.4851    -158.5239       0.0388   300.4
0.5800        -158.4834    -158.5226       0.0392   303.6
0.5900        -158.4826    -158.5223       0.0398   307.7
0.6000        -158.4825    -158.5214       0.0389   301.0
0.6100        -158.4827    -158.5201       0.0374   289.6
0.6200        -158.4844    -158.5229       0.0385   297.5
0.6300        -158.4843    -158.5225       0.0382   295.6
0.6400        -158.4826    -158.5228       0.0402   311.0
0.6500        -158.4848    -158.5239       0.0391   302.7
0.6600        -158.4802    -158.5190       0.0389   300.8
0.6700        -158.4837    -158.5223       0.0386   298.7
0.6800        -158.4838    -158.5214       0.0377   291.4
0.6900        -158.4845    -158.5230       0.0384   297.4
0.7000        -158.4843    -158.5239       0.0397   307.1
0.7100        -158.4842    -158.5233       0.0391   302.3
0.7200        -158.4814    -158.5207       0.0393   304.0
0.7300        -158.4838    -158.5226       0.0388   300.3
0.7400        -158.4838    -158.5214       0.0377   291.5
0.7500        -158.4850    -158.5233       0.0384   296.9
0.7600        -158.4846    -158.5235       0.0389   300.8
0.7700        -158.4832    -158.5227       0.0395   305.9
0.7800        -158.4820    -158.5216       0.0397   307.1
0.7900        -158.4843    -158.5230       0.0387   299.1
0.8000        -158.4824    -158.5202       0.0378   292.5
