Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000         -44.6825     -44.7098       0.0273   210.9
0.0100         -44.6555     -44.6863       0.0308   237.9
0.0200         -44.6665     -44.6703       0.0038    29.1
0.0300         -44.6723     -44.6809       0.0086    66.4
0.0400         -44.6716     -44.6960       0.0243   188.2
0.0500         -44.6622     -44.6937       0.0315   243.5
0.0600         -44.6564     -44.6808       0.0245   189.4
0.0700         -44.6741     -44.6962       0.0221   170.9
0.0800         -44.6569     -44.6895       0.0326   252.0
0.0900         -44.6564     -44.6819       0.0255   197.2
0.1000         -44.6651     -44.6884       0.0233   180.1
0.1100         -44.6646     -44.6900       0.0255   197.0
0.1200         -44.6632     -44.6886       0.0254   196.7
0.1300         -44.6635     -44.6909       0.0274   211.9
0.1400         -44.6649     -44.6915       0.0266   205.9
0.1500         -44.6594     -44.6837       0.0243   188.1
0.1600         -44.6668     -44.6908       0.0240   185.4
0.1700         -44.6681     -44.6933       0.0252   194.8
0.1800         -44.6650     -44.6932       0.0283   218.7
0.1900         -44.6611     -44.6896       0.0285   220.8
0.2000         -44.6614     -44.6865       0.0251   194.2
0.2100         -44.6383     -44.6764       0.0380   294.2
0.2200         -44.6448     -44.6818       0.0370   286.4
0.2300         -44.6509     -44.6912       0.0403   312.0
0.2400         -44.6396     -44.6789       0.0393   304.2
0.2500         -44.6387     -44.6754       0.0367   283.8
0.2600         -44.6519     -44.6915       0.0395   305.7
0.2700         -44.6478     -44.6865       0.0386   298.8
0.2800         -44.6434     -44.6826       0.0392   302.9
0.2900         -44.6456     -44.6837       0.0382   295.2
0.3000         -44.6478     -44.6890       0.0412   319.1
0.3100         -44.6455     -44.6835       0.0380   294.1
0.3200         -44.6460     -44.6831       0.0371   286.7
0.3300         -44.6448     -44.6843       0.0395   305.5
0.3400         -44.6452     -44.6848       0.0396   306.0
0.3500         -44.6483     -44.6863       0.0379   293.6
0.3600         -44.6519     -44.6888       0.0369   285.8
0.3700         -44.6491     -44.6865       0.0374   289.6
0.3800         -44.6489     -44.6880       0.0391   302.8
0.3900         -44.6431     -44.6851       0.0420   324.6
0.4000         -44.6490     -44.6892       0.0402   310.8
0.4100         -44.6476     -44.6841       0.0365   282.7
0.4200         -44.6478     -44.6870       0.0392   303.1
0.4300         -44.6505     -44.6888       0.0383   296.5
0.4400         -44.6443     -44.6830       0.0387   299.2
0.4500         -44.6468     -44.6854       0.0385   298.0
0.4600         -44.6496     -44.6879       0.0383   296.4
0.4700         -44.6543     -44.6922       0.0379   293.0
0.4800         -44.6508     -44.6923       0.0415   321.3
0.4900         -44.6441     -44.6851       0.0410   317.5
0.5000         -44.6478     -44.6850       0.0371   287.1
0.5100         -44.6482     -44.6847       0.0365   282.3
0.5200         -44.6492     -44.6889       0.0397   306.9
0.5300         -44.6529     -44.6930       0.0402   310.7
0.5400         -44.6513     -44.6897       0.0384   296.8
0.5500         -44.6497     -44.6878       0.0381   294.9
0.5600         -44.6481     -44.6857       0.0376   290.8
0.5700         -44.6522     -44.6906       0.0384   297.1
0.5800         -44.6498     -44.6895       0.0398   307.5
0.5900         -44.6471     -44.6891       0.0420   325.0
0.6000         -44.6524     -44.6906       0.0381   294.9
0.6100         -44.6514     -44.6877       0.0363   280.6
0.6200         -44.6492     -44.6884       0.0392   303.2
0.6300         -44.6491     -44.6876       0.0385   298.0
0.6400         -44.6492     -44.6882       0.0390   301.6
0.6500         -44.6542     -44.6937       0.0395   305.6
0.6600         -44.6525     -44.6901       0.0376   290.6
0.6700         -44.6505     -44.6885       0.0380   293.7
0.6800         -44.6468     -44.6866       0.0399   308.5
0.6900         -44.6536     -44.6950       0.0414   320.3
0.7000         -44.6541     -44.6921       0.0379   293.3
0.7100         -44.6490     -44.6870       0.0380   294.2
0.7200         -44.6515     -44.6898       0.0382   295.7
0.7300         -44.6487     -44.6876       0.0389   301.0
0.7400         -44.6542     -44.6918       0.0376   290.8
0.7500         -44.6544     -44.6932       0.0387   299.6
0.7600         -44.6518     -44.6929       0.0411   318.0
0.7700         -44.6509     -44.6904       0.0395   305.9
0.7800         -44.6482     -44.6847       0.0365   282.6
0.7900         -44.6534     -44.6920       0.0386   298.7
0.8000         -44.6553     -44.6930       0.0377   291.7
